x,y,z
-44.4450334705045,-52.9421243735672,3.13315907616898
-44.446646152603,-53.5681615030785,3.14274681151863
-44.4455601681815,-54.193156634664,3.13742581791318
-44.4454587772301,-54.8181512112914,3.13278571651031
-44.4453572241424,-55.4441452292463,3.10989254059725
-44.4452559953273,-56.0681403645464,3.11405281006043
-44.4461390357097,-56.6941338275432,3.12327649507409
-44.4443234092623,-57.3190872025976,3.1223944881304
-44.4459362538069,-57.9441229807981,3.14173430765618
-44.4441206273595,-58.5690763558525,3.13319482865255
-44.4440192364082,-59.1940709324799,3.13266667596218
-44.4449022767906,-59.8200643954768,3.13208627619088
-44.4448008858392,-60.4450589721043,3.12315614471255
-44.4429798524972,-61.0710135724194,3.12229888800797
-44.4428782994095,-61.6970075903742,3.10268415569167
-44.4437615019282,-62.3220016120437,3.11031646051991
-44.4419404706139,-62.9479543024166,3.09976585452924
-44.4406280115235,-63.5728228002772,3.07320210428405
-44.438077344599,-64.198733734031,3.06874178178075
-44.4350413296439,-64.8255597890801,3.04399412109151
-44.4363269277262,-70.4586396709732,2.98364816542681
-44.4362268351046,-71.075631077048,2.99302119954625
-44.4361251192609,-71.702628356297,2.99041115058914
-44.4360237283096,-72.3276229329245,2.98780943843358
-44.4351925314782,-72.953575194307,2.97520105578003
-43.812054182514,-73.5894960332197,2.98307969098976
-43.8114208508452,-72.963460132725,2.975652997333
-43.6971588748972,-69.3423891064551,1.49970207760124
-43.691877827436,-68.7111435735036,1.52502416441396
-43.808293512295,-63.5863339948053,2.91804581028587
-43.8176880517831,-62.9627560733214,3.00996936222038
-43.8182757462177,-62.33084590752,3.03099720082059
-43.8191071051854,-61.7038942048101,3.03182748312442
-43.8199399535183,-61.0769426302246,3.05176284801067
-43.8200413447795,-60.4519461436137,3.05249238064442
-43.8201428978672,-59.8259521256589,3.05302137791432
-43.8219637670452,-59.2009988766133,3.06362061235819
-43.8220651579966,-58.5760042999858,3.05450818809511
-43.8211821176142,-57.950010836989,3.04532066246295
-43.8212835085656,-57.3250162603615,3.03609427452184
-43.8231043794614,-56.7000630113572,3.03722632261807
-43.8232057704128,-56.0750684347298,3.04049713141649
-43.8233073238103,-55.4490725067915,3.04594996656975
-43.8234087147617,-54.8240779301641,3.05575651061335
-43.8235102678494,-54.1980839122092,3.05671484689468
-43.8221456409354,-53.5730055683452,3.03691026059337
-43.8197983949174,-52.9449276735567,2.99891484016588
-43.8184301866255,-52.3188498904753,2.96047664740394
-43.7692599719378,-51.1072687554077,2.33461181382566
-43.750796015771,-50.4842707856728,2.09545695546328
-43.7323274871139,-49.8662719347206,1.85483747877991
-43.6853596059954,-48.6368149175117,1.25130245268862
-43.6871755584349,-48.0098626498439,1.25467524544951
-43.6880121587236,-47.382909173118,1.27463114854847
-43.693244962728,-46.7492087326662,1.34886614112941
-43.8206867386648,-42.9389730570381,2.95866583532883
-43.8261668263882,-42.3202284788943,3.0191859279679
-43.8245539801258,-41.6951927006525,3.00493254559662
-43.8246552087852,-41.0711985253441,3.00547065774002
-43.8257411932067,-40.4462033937587,3.0106924039606
-43.8258427464501,-39.8202084158121,3.01132952068459
-43.8249595439314,-39.1952143941427,3.01204080035391
-43.8250610159501,-38.5697201018515,3.01258169513333
-43.8251623744126,-37.9449257934862,3.02145833871842
-43.8252637491203,-37.3200313459899,3.02005388210067
-43.8253652374606,-36.6944364445717,3.01881142520171
-43.8254666284119,-36.0694418679443,3.02407720320877
